MAVBLCKSCTN,MAVFROMSTTNCODE,MAVTOSTTNCODE,MAVSUBSCTNNAME,MANINTRDIST,MANNUMBLINES,MANNUMBSGNL,MANNUMBLVLCRSG,MAVSGNLTYPE,MAVGAUGE,MAVTRTNTYPE,MAVDVSNCODE,MADMDFYTIME,MAVMDFYBY,MACFREZFLAG,MACFLAG,MACSDNGBLCKSCTN,MACFREZRUNTIME,MADRUNTIMEMDFYTIME,MAVRUNTIMEMDFYBY,MANCOABLCKSCTN,MAVSCTNCODE,MANSTATUS,MANRBSDISTANCE,MANICMSINTRDIST,MAVTRAFFICTYPE,MADVALIDFROM,MADVALIDTO,MANMAXSPEED,MAVDRTN,MANSIGNALNUMB,MAVSIGNALPOSN
KTV-KPL,KTV,KPL,KTV-PSA,7.74,3,0,1,AT,B,E,WAT,4/25/2025,ECORZN4,N,N,N,Y,8/17/2023,WAT1,1,VSKP-PSA,1,7.74,7.74,CG,8/15/2018,12/31/2099,130,DN,0,
DGB-KBM,DGB,KBM,NOT-EXIST,7.97,2,1,1,AB,B,E,WAT,7/15/2024,WAT1,Y,N,N,Y,3/30/2023,WAT1,0,PSA-VSKP,1,7.97,7.98,CG,8/15/2018,12/31/2099,130,UP,0,
KBM-DGB,KBM,DGB,NOT-EXIST,7.98,2,1,1,AB,B,E,WAT,7/15/2024,WAT1,Y,N,N,Y,3/30/2023,WAT1,0,VSKP-PSA,1,7.98,7.98,CG,8/15/2018,12/31/2099,130,DN,0,
HCM-KBM,HCM,KBM,NOT-EXIST,8.29,2,1,1,AB,B,E,WAT,7/15/2024,WAT1,Y,N,N,Y,3/30/2023,WAT1,0,VSKP-PSA,1,8.29,8.29,CG,8/15/2018,12/31/2099,130,DN,0,
KBM-HCM,KBM,HCM,NOT-EXIST,8.29,2,1,1,AB,B,E,WAT,7/15/2024,WAT1,Y,N,N,Y,3/30/2023,WAT1,0,PSA-VSKP,1,8.29,8.29,CG,8/15/2018,12/31/2099,130,UP,0,
PDU-DUSI,PDU,DUSI,KTV-PSA,8.82,2,0,1,AB,B,E,WAT,7/15/2024,WAT1,Y,N,N,Y,4/5/2023,WAT1,1,VSKP-PSA,1,8.83,8.83,CG,8/15/2018,12/31/2099,130,DN,0,
DUSI-PDU,DUSI,PDU,KTV-PSA,8.82,2,0,1,AB,B,E,WAT,7/15/2024,WAT1,Y,N,N,Y,4/5/2023,WAT1,1,PSA-VSKP,1,8.82,8.83,CG,8/15/2018,12/31/2099,130,UP,0,
SGDM-BTVA,SGDM,BTVA,NOT-EXIST,8.83,2,1,1,AB,B,E,WAT,7/15/2024,WAT1,Y,N,N,Y,3/30/2023,WAT1,0,PSA-VSKP,1,8.83,8.84,CG,8/15/2018,12/31/2099,130,UP,0,
BTVA-SGDM,BTVA,SGDM,NOT-EXIST,8.84,2,1,1,AB,B,E,WAT,7/15/2024,WAT1,Y,N,N,Y,3/30/2023,WAT1,0,VSKP-PSA,1,8.84,8.84,CG,8/15/2018,12/31/2099,130,DN,0,
KTV-PDT,KTV,PDT,KTV-GPT,8.92,4,0,1,AT,B,E,WAT,4/25/2025,WAT1,Y,N,N,Y,10/28/2023,WAT,1,PSA-VSKP,1,8.92,8.92,CG,8/15/2018,12/31/2099,130,UP,0,
