MAVSTTNCODE,MAVSTTNNAME,MAVDVSNCODE,MACCLASSFLAG,MACJUNCTION,MACCABINFLAG,MACHALTFLAG,MACICFLAG,MAVCIVILDSTNAME,MAVCONSTITUENCY,MAVINTRLOCKSTD,MAVSGNLARRNGMENT,MACNOMSTTNCTONORDR,MACPRCDCROSSFCLTY,MACTRTNCHNG,MACCREWCHNG,MACFREZFLAG,MANXCALCCORD,MANYCALCCORD,MADMDFYTIME,MAVMDFYBY,MAVBLOCKINSTTYPE,MANSTARTBUFFER,MANENDBUFFER,MAVTRAFFICTYPE,MAVSTATUS,MACPFFREEZE,MADPFMDFYTIME,MAVPFMDFYBY,MACIGNRTRTN,MACIGNRJN,MANDVSNIC,MANZONEIC,MACMNTCFREEZE,MADMNTCMDFYTIME,MAVMNTCMDFYBY,MACSHAREFLAG,MAVADDEDBY,MADADDEDDATE,MACCOARPTNGFLAG,MADVALIDFROM,MADVALIDTO,MANLATITUDE,MANLONGITUDE,MAVREFSTTN_I,MAVREFSTTN_II,MAVREFSTTN_III,MANMILEPOSTKM_I,MANMILEPOSTSUBKM_I,MANMILEPOSTKM_II,MANMILEPOSTSUBKM_II,MANMILEPOSTKM_III,MANMILEPOSTSUBKM_III,MAVSTATECODE
ALM,ALAMANDA,WAT,B,N,N,N,N,VIZIANAGARAM,VIZIANAGARAM,R3,MACL,N,Y,N,N,Y,9280,11711,7/15/2024,WAT1,TL,0,0,"G,C",O,Y,7/15/2024,WAT1,N,N,0,0,N,11/21/2013,SATS,N,SATS,10/13/2015,Y,8/15/2018,12/31/2099,18.01,83.27,HWH,VSKP,,835,945,43,43,0,0,AP
BTVA,BATUVA. P.H.,WAT,D,N,N,Y,N,SRIKAKULAM,SRIKAKULAM,NA,NA,N,N,N,N,Y,9450,11551,7/15/2024,WAT1,NA,0,0,"C,G",O,Y,7/15/2024,WAT1,N,N,0,0,N,11/21/2013,SATS,N,SATS,7/12/2012,N,8/15/2018,12/31/2099,18.34,83.62,,,,783,100,0,0,0,0,AP
CHE,SRIKAKULAM ROAD,WAT,B,N,N,N,N,SRIKAKULAM,SRIKAKULAM,R3,MACL,N,Y,N,N,Y,9524,11472,7/15/2024,WAT1,TL,0,0,"G,C",O,Y,7/15/2024,WAT1,N,N,0,0,N,11/21/2013,SATS,N,RSM,12/8/2012,Y,8/15/2018,12/31/2099,18.41,83.9,HWH,VSKP,,748,895,130,0,0,0,AP
CPP,CHIPURUPALLE,WAT,B,N,N,N,N,VIZIANAGARAM,VIZIANAGARAM,R3,MACL,N,Y,N,N,Y,9441,11561,7/15/2024,WAT1,TL,0,0,"G,C",O,Y,7/15/2024,WAT1,N,N,0,0,N,11/21/2013,SATS,N,RSM,12/6/2012,Y,8/15/2018,12/31/2099,18.32,83.57,HWH,VSKP,,787,534,91,0,0,0,AP
DGB,DANDU GOPALAPURAM HALT,WAT,D,N,N,Y,N,SRIKAKULAM,SRIKAKULAM,NA,NA,N,N,N,N,Y,9612,11377,7/15/2024,WAT1,NA,0,0,"C,G",O,Y,7/15/2024,WAT1,N,N,0,0,N,11/21/2013,SATS,N,SATS,7/12/2012,N,8/15/2018,12/31/2099,18.54,84.24,,,,707,300,0,0,0,0,AP
DUSI,DUSI,WAT,B,N,N,N,N,SRIKAKULAM,,R3,MACL,N,Y,N,N,Y,9510,11487,7/15/2024,WAT1,TL,0,0,"G,C",O,Y,7/15/2024,WAT1,N,N,0,0,N,11/21/2013,SATS,N,RSM,12/7/2012,Y,8/15/2018,12/31/2099,18.37,83.86,HWH,VSKP,,755,359,2,0,0,0,AP
GVI,GARIVIDI,WAT,B,N,N,N,N,VIZIANAGARAM,VIZIANAGARAM,R3,MACL,N,Y,N,N,Y,9427,11576,7/15/2024,WAT1,TL,0,0,"G,C",O,Y,7/15/2024,WAT1,N,N,0,0,N,11/21/2013,SATS,N,RSM,12/6/2012,Y,8/15/2018,12/31/2099,18.27,83.53,HWH,VSKP,,794,111,84,0,0,0,AP
HCM,HARISCHANDRAPURAM,WAT,D,N,N,Y,N,SRIKAKULAM,SRIKAKULAM,NA,NA,N,Y,N,N,Y,9577,11414,7/15/2024,WAT1,NA,0,0,"C,G",O,Y,7/15/2024,WAT1,N,N,0,0,N,11/21/2013,SATS,N,SATS,7/12/2012,N,8/15/2018,12/31/2099,18.48,84.12,,,,723,800,0,0,0,0,AP
KBM,KOTABOMMALI,WAT,B,N,N,N,N,SRIKAKULAM,SRIKAKULAM,R3,MACL,N,Y,N,N,Y,9595,11395,7/15/2024,WAT1,TL,0,0,"G,C",O,Y,7/15/2024,WAT1,N,N,0,0,N,11/21/2013,SATS,N,RSM,11/22/2013,Y,8/15/2018,12/31/2099,18.49,84.2,HWH,VSKP,,715,503,2,0,0,0,AP
KPL,KANTAKAPALLE,WAT,B,N,N,N,N,VIZIANAGARAM,VISAKHAPATNAM,R2,MACL,N,Y,N,N,N,9231,11752,9/14/2024,ECORZN4,TL,0,0,"G,C",O,Y,9/14/2024,ECORZN4,N,N,0,0,N,11/21/2013,SATS,N,SATS,10/13/2015,Y,8/15/2018,12/31/2099,17.95,83.21,HWH,VSKP,,845,185,33,34,0,0,AP
